frequency,psd,group
0.0,2.8685688480630515e-05,group_1
3.90625,2.7858993049287173e-05,group_1
7.8125,1.5508345330923706e-05,group_1
11.71875,1.1388277553964714e-05,group_1
15.625,9.644475277523276e-06,group_1
19.53125,3.314523329487674e-05,group_1
23.4375,0.0001396377185145268,group_1
27.34375,0.011615600833538624,group_1
31.25,0.019347766512664025,group_1
35.15625,0.0017226819365125468,group_1
39.0625,3.245517030555152e-05,group_1
42.96875,1.746853821439975e-05,group_1
46.875,2.0501283223465516e-05,group_1
50.78125,1.753553311426861e-05,group_1
54.6875,2.3480542356668205e-05,group_1
58.59375,1.9703685055604265e-05,group_1
62.5,7.984221455243583e-06,group_1
66.40625,1.0007287267537009e-05,group_1
70.3125,7.742437468787581e-06,group_1
74.21875,1.1798291067035216e-05,group_1
78.125,2.2622424466049523e-05,group_1
82.03125,1.591034220790217e-05,group_1
85.9375,2.999766938073993e-05,group_1
89.84375,1.3636895582542733e-05,group_1
93.75,1.4482255023410146e-05,group_1
97.65625,7.352235026245459e-06,group_1
101.5625,2.652999240985867e-05,group_1
105.46875,2.1285378465929623e-05,group_1
109.375,1.7500045663123048e-05,group_1
113.28125,1.5344161172296095e-05,group_1
117.1875,3.6827867395309114e-05,group_1
121.09375,2.5700316277709983e-05,group_1
125.0,1.9826538498861265e-05,group_1
128.90625,1.617804087289589e-05,group_1
132.8125,3.653914484762623e-05,group_1
136.71875,3.838804515976733e-05,group_1
140.625,2.5917057561809814e-05,group_1
144.53125,1.1359070337706792e-05,group_1
148.4375,1.2903862014024636e-05,group_1
152.34375,1.315761641504891e-05,group_1
156.25,2.1769570676131108e-05,group_1
160.15625,2.3820786341728967e-05,group_1
164.0625,2.807929911768807e-05,group_1
167.96875,3.08894952938745e-05,group_1
171.875,1.726691491988044e-05,group_1
175.78125,2.574969423797933e-05,group_1
179.6875,2.0075495105500126e-05,group_1
183.59375,3.787546600697482e-05,group_1
187.5,3.930514304855696e-05,group_1
191.40625,1.571591952021099e-05,group_1
195.3125,2.8759814092535246e-05,group_1
199.21875,1.54687166005468e-05,group_1
203.125,7.267895312212078e-06,group_1
207.03125,5.507565147802126e-06,group_1
210.9375,3.2733183586872145e-05,group_1
214.84375,3.5143456158707404e-05,group_1
218.75,9.873581236255927e-06,group_1
222.65625,1.223543196160087e-05,group_1
226.5625,6.2964230230857966e-06,group_1
230.46875,5.011643852966926e-06,group_1
234.375,1.4103337004733302e-05,group_1
238.28125,2.464130688898652e-05,group_1
242.1875,3.574576585245174e-05,group_1
246.09375,2.8540556794527752e-05,group_1
250.0,1.7862544075991745e-05,group_1
253.90625,1.992387491227748e-05,group_1
257.8125,3.061403366308365e-05,group_1
261.71875,2.0785494409288502e-05,group_1
265.625,1.509236643797578e-05,group_1
269.53125,2.02479871940991e-05,group_1
273.4375,1.48323769727388e-05,group_1
277.34375,1.556665825097138e-05,group_1
281.25,1.606252161215004e-05,group_1
285.15625,1.1817140591513277e-05,group_1
289.0625,1.812603412289942e-05,group_1
292.96875,2.9466308264694362e-05,group_1
296.875,2.603384329108285e-05,group_1
300.78125,3.053537418625006e-05,group_1
304.6875,2.8664275273478537e-05,group_1
308.59375,2.956033454938727e-05,group_1
312.5,3.733707943391582e-05,group_1
316.40625,2.773535338762049e-05,group_1
320.3125,2.6346465107337608e-05,group_1
324.21875,1.791747940745736e-05,group_1
328.125,1.1149592196716718e-05,group_1
332.03125,1.1868847092611602e-05,group_1
335.9375,1.0860229823428869e-05,group_1
339.84375,9.532746128141464e-06,group_1
343.75,2.3361291710345365e-05,group_1
347.65625,3.46753721234426e-05,group_1
351.5625,4.45948069872129e-05,group_1
355.46875,3.499125788460809e-05,group_1
359.375,2.964997317000965e-05,group_1
363.28125,7.867684305313162e-06,group_1
367.1875,6.115199067809233e-06,group_1
371.09375,1.1449448116939103e-05,group_1
375.0,1.2334222293052483e-05,group_1
378.90625,1.152894593659706e-05,group_1
382.8125,1.4113287919229935e-05,group_1
386.71875,1.5689144964140276e-05,group_1
390.625,2.1109755705480012e-05,group_1
394.53125,2.4672746386725653e-05,group_1
398.4375,2.4329339132273398e-05,group_1
402.34375,1.6562994167879776e-05,group_1
406.25,1.3071472085787926e-05,group_1
410.15625,2.614227735944096e-05,group_1
414.0625,3.20360576604441e-05,group_1
417.96875,1.6414671378968447e-05,group_1
421.875,1.335001078870655e-05,group_1
425.78125,1.010369361679122e-05,group_1
429.6875,1.3736509932987824e-05,group_1
433.59375,1.818169261992866e-05,group_1
437.5,2.1300995094535763e-05,group_1
441.40625,1.188373857141931e-05,group_1
445.3125,6.552101990701588e-06,group_1
449.21875,2.1352509160003972e-05,group_1
453.125,1.387147170938335e-05,group_1
457.03125,7.493120810955875e-06,group_1
460.9375,2.4172034160266075e-05,group_1
464.84375,3.467156594152314e-05,group_1
468.75,2.56706493563614e-05,group_1
472.65625,1.34098265456352e-05,group_1
476.5625,3.0032511965757775e-05,group_1
480.46875,4.318914286382753e-05,group_1
484.375,5.242619728357606e-05,group_1
488.28125,5.324084573213262e-05,group_1
492.1875,2.5862470144785368e-05,group_1
496.09375,2.2651670248922173e-05,group_1
500.0,1.534984107194664e-05,group_1
0.0,6.9600997113206155e-06,group_2
3.90625,1.2272453473354808e-05,group_2
7.8125,2.6229902736119034e-05,group_2
11.71875,3.404761912127778e-05,group_2
15.625,2.987386019675873e-05,group_2
19.53125,1.784490822951265e-05,group_2
23.4375,2.0016110150676614e-05,group_2
27.34375,2.8756496299620477e-05,group_2
31.25,1.886908999029769e-05,group_2
35.15625,2.3507790451414962e-05,group_2
39.0625,2.987722023946645e-05,group_2
42.96875,4.5822280844281034e-05,group_2
46.875,0.008579618541614249,group_2
50.78125,0.020018455075095636,group_2
54.6875,0.0027386936585212713,group_2
58.59375,4.127461015652222e-05,group_2
62.5,2.6239689607321253e-05,group_2
66.40625,3.4398477791016236e-05,group_2
70.3125,2.7367260392360127e-05,group_2
74.21875,2.2813460346965073e-05,group_2
78.125,1.1035905453269084e-05,group_2
82.03125,2.049321978447959e-05,group_2
85.9375,1.632133288226083e-05,group_2
89.84375,1.241974809342512e-05,group_2
93.75,1.3437166272012213e-05,group_2
97.65625,1.4078933041869564e-05,group_2
101.5625,1.6988132000563424e-05,group_2
105.46875,2.1307883670274545e-05,group_2
109.375,1.8202863085437178e-05,group_2
113.28125,1.5761293752123043e-05,group_2
117.1875,1.549296474528211e-05,group_2
121.09375,3.312431293809356e-05,group_2
125.0,4.0513710624640787e-05,group_2
128.90625,2.6816585772964946e-05,group_2
132.8125,3.0859791240791613e-05,group_2
136.71875,3.486211025249256e-05,group_2
140.625,3.318939296204921e-05,group_2
