frequency,psd
0.0,3.7429239550743517e-06
3.90625,2.6672823402345593e-05
7.8125,2.1426599765508238e-05
11.71875,1.911114179040178e-05
15.625,2.4691629442836816e-05
19.53125,1.7299946413624043e-05
23.4375,1.425402162742359e-05
27.34375,8.00145437987881e-06
31.25,1.4973810453505202e-05
35.15625,9.149162730315444e-06
39.0625,1.718275039868939e-05
42.96875,5.604204164927788e-05
46.875,0.009005036101587928
50.78125,0.020935753339314533
54.6875,0.0029624488474894093
58.59375,1.8039697514409856e-05
62.5,9.072633346050493e-06
66.40625,1.4465758512606762e-05
70.3125,1.767987532185077e-05
74.21875,2.3029695963556875e-05
78.125,1.3539783251788672e-05
82.03125,8.805253154080614e-06
85.9375,1.1976311273203348e-05
89.84375,1.4243455639261454e-05
93.75,9.655243016391222e-06
97.65625,1.0622529819501093e-05
101.5625,1.1543243547540751e-05
105.46875,8.02036841608002e-06
109.375,1.4675491787274735e-05
113.28125,1.1367432280444913e-05
117.1875,8.63727948384675e-06
121.09375,1.2946701613381184e-05
125.0,1.164609491249463e-05
128.90625,1.2981044460002281e-05
132.8125,2.3259391067380036e-05
136.71875,1.6870337070238965e-05
140.625,1.5161393909504422e-05
144.53125,1.3251802357548063e-05
148.4375,1.41190772628917e-05
152.34375,2.1328030070980587e-05
156.25,3.5832057298602906e-05
160.15625,3.543571772574831e-05
164.0625,2.513995971424578e-05
167.96875,2.7283281781462475e-05
171.875,2.0450202497575273e-05
175.78125,1.2533456285802878e-05
179.6875,1.749214802302276e-05
183.59375,3.117955332346416e-05
187.5,3.314089352257881e-05
191.40625,1.222564322211562e-05
195.3125,1.5450076794461387e-05
199.21875,2.462327514890511e-05
203.125,4.228680139268778e-05
207.03125,3.196949154681052e-05
210.9375,1.590273259307613e-05
214.84375,1.7803081597390766e-05
218.75,2.710644137413591e-05
222.65625,3.448010601154269e-05
226.5625,1.6309789038385084e-05
230.46875,1.167721343742947e-05
234.375,2.071629089710989e-05
238.28125,2.166668000977979e-05
242.1875,1.005729249484821e-05
246.09375,2.0784308763508392e-05
250.0,1.7733946398656272e-05
253.90625,1.4939877546912516e-05
257.8125,1.098756588843411e-05
261.71875,7.180219740562275e-06
265.625,7.4412551130286555e-06
269.53125,1.894609849984982e-05
273.4375,2.0223055276608692e-05
277.34375,1.1407079897461188e-05
281.25,6.9396903709844465e-06
285.15625,1.4675690735480312e-05
289.0625,2.0687578130098482e-05
292.96875,1.5236327240699032e-05
296.875,1.7420286206929293e-05
300.78125,2.479492187693133e-05
304.6875,2.7414066186902884e-05
308.59375,3.2825956622805295e-05
312.5,2.9350221099388898e-05
316.40625,2.7865629802411847e-05
320.3125,2.0569270929584156e-05
324.21875,1.1915933146173576e-05
328.125,2.3129800561377676e-05
332.03125,1.8736289790796016e-05
335.9375,2.4940601837336886e-05
339.84375,2.7313833197079782e-05
343.75,8.0386878295007e-06
347.65625,7.890427591007248e-06
351.5625,1.5006793963178756e-05
355.46875,1.6059801233887777e-05
359.375,8.510172056901395e-06
363.28125,1.1121035259831132e-05
367.1875,1.925478961854843e-05
371.09375,1.0033759694804858e-05
375.0,1.4110020377128035e-05
378.90625,1.2244543083165913e-05
382.8125,1.743137477333943e-05
386.71875,1.831421632749348e-05
390.625,1.4428306839572163e-05
394.53125,2.226585279396998e-05
398.4375,2.7279382353104535e-05
402.34375,2.1602349308722976e-05
406.25,1.1575221237986959e-05
410.15625,5.255204390026834e-06
414.0625,1.143191222862524e-05
417.96875,2.9931912588652997e-05
421.875,2.590184418508429e-05
425.78125,1.681890397511262e-05
429.6875,1.2819727522353085e-05
433.59375,1.3021996887184337e-05
437.5,1.9337205583676318e-05
441.40625,1.6413242518972464e-05
445.3125,2.3525439090382434e-05
449.21875,1.6563009042950464e-05
453.125,2.8851259329999615e-05
457.03125,2.3229302683658805e-05
460.9375,2.196209335599171e-05
464.84375,2.0088866196618635e-05
468.75,1.644628495910546e-05
472.65625,1.8321672625849698e-05
476.5625,1.345632743085502e-05
480.46875,3.48370701881391e-05
484.375,3.7948600438812396e-05
488.28125,4.032310623953085e-05
492.1875,4.422082837785352e-05
496.09375,1.946655638122276e-05
500.0,8.093661266776596e-06
