input1,input2,input3,input4,input5,input6,input7,input8,input9,input10,input11,input12,input13,input14,input15,input16,input17,input18,input19,input20,input21,input22,output1,output2,output3,output4,output5,output6,output7,output8,output9,output10,output11,output12,output13,output14,output15,output16,output17
285827.87,7.597829,0.059814,-1.101519,-21.622542,-5.636558,-35.60658,-1.54555,-8.909711,6.463975,190759.23,217.10979,174.36053,799.40892,296.72035,321.47456,199.11439,460.73066,301.26287,426.93092,1,1,,,,,,,,,,,,,,,,,
263248.75,-3.158665,-0.008807,4.542392,22.570803,0.997721,-21.407284,-14.068202,-63.739735,4.080264,305426.66,334.87877,443.78749,-39.600572,280.3004,489.70567,24.740585,75.086656,-26.524984,346.84855,1,1,,,,,,,,,,,,,,,,,
179894.53,19.423571,-2.925052,-0.014073,-25.070284,-2.563527,-34.917239,-4.535895,38.038576,15.471091,240955.55,65.437164,374.5554,628.18194,231.96557,163.02203,164.576,329.30198,32.382832,659.73931,1,1,,,,,,,,,,,,,,,,,
355340.46,6.535667,-3.554411,2.487855,-26.430996,2.581793,-33.699931,-3.276308,-23.265766,6.300199,345896.76,76.312454,12.12747,252.39405,182.74712,56.755106,92.774198,358.64077,588.9362,831.66587,1,1,,,,,,,,,,,,,,,,,
264516.8,14.772508,3.740362,-1.538917,-41.313893,-3.468804,30.624705,6.142184,17.194142,6.470201,171887.21,9.950034,390.07992,383.93305,179.95972,613.44368,-38.31768,475.82021,33.980305,231.15495,1,1,,,,,,,,,,,,,,,,,
377347.07,17.695383,-3.147739,-1.602858,9.253743,-3.266159,15.886718,-4.343104,52.76252,-11.31646,364990.76,546.07334,407.89482,648.79886,297.1142,637.76733,107.35979,12.159189,700.40293,233.20724,1,1,,,,,,,,,,,,,,,,,
431515.23,19.291352,-3.98604,1.843552,-23.345177,4.100478,8.442705,-9.00986,-36.413639,9.857492,244216.28,165.72896,325.35827,146.0583,124.48667,81.879888,89.174765,466.09751,719.93344,212.84685,1,1,,,,,,,,,,,,,,,,,
405198.32,10.361112,-3.44183,-4.652369,8.997334,-5.651309,35.701953,6.36017,4.848183,-6.231368,267570.54,169.69845,353.66445,353.68837,56.697992,373.37528,183.56864,359.42833,382.16862,844.59704,1,1,,,,,,,,,,,,,,,,,
445207.98,14.242425,2.190142,-4.301689,-24.547889,3.738802,-13.16929,-14.997858,-30.986167,-3.756703,199386.63,401.2007,326.85368,120.48232,224.20286,472.63917,190.318,272.67794,719.41398,171.70064,1,1,,,,,,,,,,,,,,,,,
452726.41,19.868634,-0.831831,5.124004,-9.011906,-1.60258,32.158541,-5.744998,-20.204094,-19.01613,232043.46,510.95378,345.76329,538.74196,308.38911,414.98379,146.27354,490.51695,635.17508,831.14075,1,1,,,,,,,,,,,,,,,,,
74568.767,10.252658,4.437336,3.93937,-15.244292,0.395103,-31.035323,-2.404358,-53.875867,12.134867,171132.39,245.13249,212.23882,41.520992,161.22274,194.78794,148.20284,25.677634,249.97473,872.85452,1,1,,,,,,,,,,,,,,,,,
153625.26,13.95068,-2.41225,1.549109,-29.850524,-1.759564,-4.726285,-1.500084,-68.943703,-6.386991,228939.94,6.69894,405.74312,-74.593508,269.51033,33.948736,-1.504468,114.99371,738.18672,-16.332042,1,1,,,,,,,,,,,,,,,,,
326436.07,7.173854,-1.771764,-5.496972,11.386793,-0.079941,-32.714371,-10.251267,-60.498419,-15.224566,232709.75,346.74812,678.65287,-68.930201,288.40354,540.98212,-50.661042,165.21849,777.18676,149.16563,1,1,,,,,,,,,,,,,,,,,
197135.29,12.531025,2.72829,-2.190774,-30.568595,-0.297434,48.095008,-6.703725,-60.601679,-6.220608,250331.86,191.71457,445.96232,127.55309,92.993321,355.70865,28.233637,119.77976,400.93975,747.63095,1,1,,,,,,,,,,,,,,,,,
