input1,input2,input3,input4,input5,input6,input7,input8,input9,input10,input11,input12,input13,input14,input15,input16,input17,input18,input19,input20,input21,input22,output1,output2,output3,output4,output5,output6,output7,output8,output9,output10,output11,output12,output13,output14,output15,output16,output17
285827.87,7.597829,0.059814,-1.101519,-21.622542,-5.636558,-35.60658,-1.54555,-8.909711,6.463975,190759.23,217.10979,174.36053,799.40892,296.72035,321.47456,199.11439,460.73066,301.26287,426.93092,1,1,0.5530900164772521,1.8437292476269302,39.231777661736814,62.75633333877843,54.12461503845684,62.7563333387784,62.756333338778276,62.756333338778525,62.75633333877846,62.75633333877864,62.756333338778205,62.75633333877828,62.75633333877862,62.75633333877836,62.756333338778944,62.75633333877785,62.75633333877879
263248.75,-3.158665,-0.008807,4.542392,22.570803,0.997721,-21.407284,-14.068202,-63.739735,4.080264,305426.66,334.87877,443.78749,-39.600572,280.3004,489.70567,24.740585,75.086656,-26.524984,346.84855,1,1,3.798031016363895,12.597214905846817,261.20036886415505,407.3562142104309,339.9352593414358,374.57102320360656,350.24653040253867,321.3099124596516,288.21751712579885,251.4912312438368,211.71025028134022,169.5019440720983,125.53196281904903,80.49373939294496,35.09755348174855,9.940669944355264,53.91065119740566
179894.53,19.423571,-2.925052,-0.014073,-25.070284,-2.563527,-34.917239,-4.535895,38.038576,15.471091,240955.55,65.437164,374.5554,628.18194,231.96557,163.02203,164.576,329.30198,32.382832,659.73931,1,1,13.122122042614974,43.22722406628563,865.4980751776162,1298.1619374292127,1025.5108689590713,1035.997032941432,856.2384594424326,658.7613700095736,454.71977965471825,255.50005170298647,72.02807079541651,85.89216661738652,210.16738140413605,294.8946910389523,336.70245403179973,334.9313369855215,291.6447126774293
355340.46,6.535667,-3.554411,2.487855,-26.430996,2.581793,-33.699931,-3.276308,-23.265766,6.300199,345896.76,76.312454,12.12747,252.39405,182.74712,56.755106,92.774198,358.64077,588.9362,831.66587,1,1,31.993535284750603,104.50648081746483,2003.991852481371,2843.6963155339918,2062.1608581366513,1801.6342956434091,1167.1687111181839,553.8022899404511,24.025072045978163,373.25209778891815,608.5810140618831,675.140104912328,588.7848910190265,385.0231726672714,113.37751860931363,170.0452031802844,410.71703013060704
264516.8,14.772508,3.740362,-1.538917,-41.313893,-3.468804,30.624705,6.142184,17.194142,6.470201,171887.21,9.950034,390.07992,383.93305,179.95972,613.44368,-38.31768,475.82021,33.980305,231.15495,1,1,63.976724247420094,206.96637220198681,3778.2872023765603,4985.523360663027,3189.0605998996452,2178.4615137627097,745.6494526559779,370.472984859337,1024.7221641813267,1180.9855362647584,912.5226659620085,377.263041079759,225.25971921328704,704.4847987854824,924.5398719415108,834.2281153870418,474.5386470409952
377347.07,17.695383,-3.147739,-1.602858,9.253743,-3.266159,15.886718,-4.343104,52.76252,-11.31646,364990.76,546.07334,407.89482,648.79886,297.1142,637.76733,107.35979,12.159189,700.40293,233.20724,1,1,112.94182328160551,361.4998805767802,6253.287480355567,7534.123455790938,4024.33516598412,1692.4694493771303,596.160022903776,1751.5071162141699,1739.209422536513,890.8672011132637,246.37411054589268,1122.690254600827,1381.4339742107866,968.3099714457816,119.25322986942294,761.0006179305946,1277.2413066335746
431515.23,19.291352,-3.98604,1.843552,-23.345177,4.100478,8.442705,-9.00986,-36.413639,9.857492,244216.28,165.72896,325.35827,146.0583,124.48667,81.879888,89.174765,466.09751,719.93344,212.84685,1,1,183.05218467724708,579.2064057753604,9454.279343222988,10192.621262467579,4169.486222678068,145.8484374880216,2419.9865545427288,2525.6712106840687,961.9776957650112,918.779792284967,1921.7562053638087,1569.7581391982742,238.56219593871464,1163.9278524473468,1767.9396882604437,1237.9183926628884,68.65890324526067
405198.32,10.361112,-3.44183,-4.652369,8.997334,-5.651309,35.701953,6.36017,4.848183,-6.231368,267570.54,169.69845,353.66445,353.68837,56.697992,373.37528,183.56864,359.42833,382.16862,844.59704,1,1,278.8967594548424,871.7211059794091,13376.322493830961,12611.748903890042,3340.6402997024816,2201.337348555948,3746.208051998081,1651.9091439888377,1324.4421504453283,2657.0100861772007,1595.9322434512976,671.8789613206274,2193.7097692893044,1803.2406524170453,74.38177033296215,1871.1147463418347,2148.635713130146
445207.98,14.242425,2.190142,-4.301689,-24.547889,3.738802,-13.16929,-14.997858,-30.986167,-3.756703,199386.63,401.2007,326.85368,120.48232,224.20286,472.63917,190.318,272.67794,719.41398,171.70064,1,1,405.1572081058057,1249.9796310143474,17960.415512826316,14395.295954562798,1428.8913736706604,4688.1323943373045,3583.9275570100117,888.773225507118,3411.490249238813,1947.012128889613,1359.6918284068909,2947.0061188482246,1390.0772111821768,1493.1686938212183,2700.8601026067277,1054.1469828444785,1748.6694493670166
452726.41,19.868634,-0.831831,5.124004,-9.011906,-1.60258,32.158541,-5.744998,-20.204094,-19.01613,232043.46,510.95378,345.76329,538.74196,308.38911,414.98379,146.27354,490.51695,635.17508,831.14075,1,1,566.31712305457,1723.16026797709,23078.957469096466,15125.936512221957,1461.9166581602883,6459.864458266556,1547.1321456380508,3735.314389637773,3068.446134777459,1462.7209867060876,3712.377532683246,1199.4771210129322,2546.50121342733,2831.633718406477,505.34467370390223,3192.2301099809506,1863.5692188425096
74568.767,10.252658,4.437336,3.93937,-15.244292,0.395103,-31.035323,-2.404358,-53.875867,12.134867,171132.39,245.13249,212.23882,41.520992,161.22274,194.78794,148.20284,25.677634,249.97473,872.85452,1,1,765.9385492387025,2296.2263784492893,28496.53646148011,14353.722555040282,5056.094525936176,6811.088429515382,1740.4415160846372,4802.580830664819,336.17845638429867,4563.466602791099,1813.4872878965382,3182.6178728853274,3007.087211103362,1659.049554334257,3674.292880639617,89.68207367997766,3763.37620310819
153625.26,13.95068,-2.41225,1.549109,-29.850524,-1.759564,-4.726285,-1.500084,-68.943703,-6.386991,228939.94,6.69894,405.74312,-74.593508,269.51033,33.948736,-1.504468,114.99371,738.18672,-16.332042,1,1,1005.2686874788113,2965.3370096779186,33795.601222774734,11534.170071339942,9026.909072437016,5547.138616735893,4718.333525528294,2645.715375805617,4744.049392878846,3729.1895882960603,3073.639671770765,3743.520283403543,2170.156566366331,4071.2773260824747,1118.4385846278058,4216.229487778931,236.85969192242231
326436.07,7.173854,-1.771764,-5.496972,11.386793,-0.079941,-32.714371,-10.251267,-60.498419,-15.224566,232709.75,346.74812,678.65287,-68.930201,288.40354,540.98212,-50.661042,165.21849,777.18676,149.16563,1,1,1283.8742585954667,3720.2147420573683,38468.58155973466,6248.817484973069,12883.800908718717,2885.550434062914,5821.44905850171,2013.2583180620022,6311.446990178434,1481.2898976503404,5396.540963212342,1315.9549296996813,4567.565556024119,1785.2556074590993,4828.680865439634,1360.6514830712797,4366.896658747073
197135.29,12.531025,2.72829,-2.190774,-30.568595,-0.297434,48.095008,-6.703725,-60.601679,-6.220608,250331.86,191.71457,445.96232,127.55309,92.993321,355.70865,28.233637,119.77976,400.93975,747.63095,1,1,1601.5871326800564,4550.886889208142,42096.204428527715,1459.031491714152,15794.29887457775,867.3778862756401,4564.221822799772,6119.7768766065665,2414.149991194962,6973.755405734814,1785.9532981496295,5086.401363796159,1218.3820680143276,5647.806635203921,1858.0119070572719,4632.144788632281,3223.6496924251983
344531.36,7.362008,-3.880768,4.925564,-22.765755,0.19211,26.308104,-5.995751,48.283622,10.670912,249320.95,397.44483,184.01493,-49.956051,50.965508,616.70162,170.84657,351.73227,303.8968,222.61278,1,1,1958.6962298612002,5448.4092438291445,44371.91725930715,11064.223064802358,16750.392984364822,5284.402251539298,1695.475757391441,6386.002889768757,5100.007874695017,6896.0913235982935,4659.010354659336,1869.6076392933157,5784.086223568827,1875.155055801409,6253.412634764895,2881.7833731978426,2509.7331582284883
117112.95,17.679611,0.033154,3.716382,27.503622,3.430689,-40.363908,-6.478622,61.992722,-10.864249,178133.1,263.87643,173.22021,139.78687,210.01973,37.53992,35.313303,232.66594,491.55708,23.364846,1,1,2355.225061767892,6402.513006721297,45053.644846370466,21714.562178692413,14920.856790008276,9627.262559430192,1436.2357117096979,2002.4655126188861,10156.661292210096,587.1855144282505,7084.027032330285,3972.115260175817,80.35011406656429,7616.306971207036,2777.221793867582,4478.12365336948,5039.8928245143825
148425.88,25.700598,-3.549092,-1.455431,-32.915561,-5.481795,40.45426,-11.234265,45.957305,-10.509865,368304.84,513.25428,28.495444,-15.952818,182.83995,296.61808,-32.097444,337.85706,695.90907,33.375901,1,1,2790.282808804203,7399.567335949075,43926.44957483674,32399.835797346142,9972.70858853376,12803.022493062814,3693.7335272755126,4352.920259130751,7219.35036365411,9809.707745535903,2010.5824681877566,4269.01120464895,6724.38202497068,1705.7620903477334,7812.671080266439,4327.802518804317,928.8532050477573
269562.42,-0.305956,-0.893012,-2.843251,-13.419108,-1.800684,13.400999,-1.45994,55.997761,-14.838222,332588.54,360.11995,57.064386,113.58361,222.54654,172.54824,78.155412,448.36255,72.554012,861.70526,1,1,3262.140207156215,8423.040486143998,40822.70818308095,42039.376934103195,2209.7951824580678,13635.09327759969,4579.812412576006,8222.301423403873,3082.116807665517,11359.095042412113,6296.841811634769,1030.0536550199918,1697.3273762432202,9921.432153252596,3914.097603284748,3816.0247253385933,4352.689529011462
87790.951,5.639881,-0.563632,-2.613502,25.928462,4.182818,25.346978,-3.348968,50.031177,-19.583181,302166.2,193.19182,446.12581,125.32839,-3.70438,584.7844,122.6076,325.74707,342.03663,139.64005,1,1,3768.9830036135127,9456.235671937386,35686.628807707326,49503.414450200165,7486.043478122957,11350.949372943107,4158.100462989552,6612.093428059913,12996.160628210886,1347.2764331169433,9187.913607430177,4280.396713977677,7478.890247841683,1013.5982870514945,9298.882532728043,5661.548175061757,3921.7119532408665
