,true_output1,true_output2,pred_output1,pred_output2
7272,112977.07,112998.04,101609.11073062735,101593.25798154983
7273,173786.78,173799.85,185616.72356725138,185603.2415984406
7274,43892.406,43854.05,42709.52807038839,42681.28406310685
7275,303786.19,303761.06,307448.0030952381,307425.7603296702
7276,168652.56,168614.31,156847.65178260874,156836.5041304347
7277,316916.44,316876.3,307448.0030952381,307425.7603296702
7278,287839.45,287841.48,274669.525366379,274663.15323275834
7279,166656.01,166694.65,156847.65178260874,156836.5041304347
7280,230745.37,230725.14,217929.90592885367,217921.5533399206
7281,498257.68,498212.35,485093.7721111117,485078.81402222347
7282,32745.116,32702.062,42709.52807038839,42681.28406310685
7283,484306.59,484289.5,485093.7721111117,485078.81402222347
7284,52296.884,52287.951,42709.52807038839,42681.28406310685
7285,485015.13,484973.32,485093.7721111117,485078.81402222347
7286,404066.0,404074.24,397781.09172413754,397780.57758620655
7287,214981.46,214937.26,217929.90592885367,217921.5533399206
7288,323839.3,323820.88,339634.8082961464,339626.06835699774
7289,55325.301,55211.281,42709.52807038839,42681.28406310685
7290,237891.4,237894.95,247739.99689223093,247728.81476190523
7291,73854.035,73844.871,69504.72317269086,69485.06758232943
7292,338447.41,338449.12,339634.8082961464,339626.06835699774
7293,92880.711,92906.274,101609.11073062735,101593.25798154983
7294,154500.52,154478.03,156847.65178260874,156836.5041304347
7295,178604.85,178610.07,185616.72356725138,185603.2415984406
7296,45684.252,45737.256,42709.52807038839,42681.28406310685
7297,228523.77,228491.57,217929.90592885367,217921.5533399206
7298,295098.52,295084.27,307448.0030952381,307425.7603296702
7299,168251.8,168210.37,156847.65178260874,156836.5041304347
7300,144830.33,144777.63,156847.65178260874,156836.5041304347
7301,249187.29,249177.22,247739.99689223093,247728.81476190523
7302,400986.76,401024.93,397781.09172413754,397780.57758620655
7303,308282.8,308248.47,307448.0030952381,307425.7603296702
7304,135009.21,135012.55,130154.50997333344,130144.92600000014
7305,185627.95,185601.48,185616.72356725138,185603.2415984406
7306,487305.65,487230.62,485093.7721111117,485078.81402222347
7307,228510.57,228482.61,217929.90592885367,217921.5533399206
7308,431712.6,431698.38,424338.6673650791,424324.22552380926
7309,231856.9,231851.42,217929.90592885367,217921.5533399206
7310,262816.21,262799.37,274669.525366379,274663.15323275834
7311,37543.126,37501.517,42709.52807038839,42681.28406310685
7312,176263.99,176280.43,185616.72356725138,185603.2415984406
7313,416839.85,416824.61,424338.6673650791,424324.22552380926
7314,218746.64,218791.58,217929.90592885367,217921.5533399206
7315,148068.29,148053.1,156847.65178260874,156836.5041304347
7316,38545.072,38551.126,42709.52807038839,42681.28406310685
7317,452919.25,452908.18,455285.4115738498,455270.39508474537
7318,307700.06,307661.57,307448.0030952381,307425.7603296702
7319,292237.03,292188.32,307448.0030952381,307425.7603296702
7320,298155.14,298136.29,307448.0030952381,307425.7603296702
7321,171869.85,171861.73,185616.72356725138,185603.2415984406
7322,147015.28,146987.9,156847.65178260874,156836.5041304347
7323,498048.18,498045.49,485093.7721111117,485078.81402222347
7324,143383.41,143420.98,156847.65178260874,156836.5041304347
7325,354164.25,354103.95,339634.8082961464,339626.06835699774
7326,47419.067,47377.265,42709.52807038839,42681.28406310685
7327,456094.47,456125.73,455285.4115738498,455270.39508474537
7328,144220.96,144247.94,156847.65178260874,156836.5041304347
7329,242827.73,242781.02,247739.99689223093,247728.81476190523
7330,468235.46,468213.61,455285.4115738498,455270.39508474537
7331,445505.82,445534.69,455285.4115738498,455270.39508474537
7332,92091.347,92058.214,101609.11073062735,101593.25798154983
7333,168086.24,168025.24,156847.65178260874,156836.5041304347
7334,184711.06,184708.52,185616.72356725138,185603.2415984406
7335,79336.495,79330.38,69504.72317269086,69485.06758232943
7336,454915.15,454867.69,455285.4115738498,455270.39508474537
7337,152709.26,152715.76,156847.65178260874,156836.5041304347
7338,306557.29,306515.83,307448.0030952381,307425.7603296702
7339,55657.013,55650.706,42709.52807038839,42681.28406310685
7340,244184.29,244187.45,247739.99689223093,247728.81476190523
7341,456368.22,456341.99,455285.4115738498,455270.39508474537
7342,140938.63,140929.67,130154.50997333344,130144.92600000014
7343,282028.3,282007.55,274669.525366379,274663.15323275834
7344,142248.39,142271.65,130154.50997333344,130144.92600000014
7345,371282.03,371237.97,369165.9787337051,369158.3872067035
7346,156617.49,156523.15,156847.65178260874,156836.5041304347
7347,52021.539,52015.795,42709.52807038839,42681.28406310685
7348,148923.75,148858.27,156847.65178260874,156836.5041304347
7349,114405.65,114364.8,101609.11073062735,101593.25798154983
7350,397951.59,397936.21,397781.09172413754,397780.57758620655
7351,53421.183,53434.501,42709.52807038839,42681.28406310685
7352,347373.09,347409.46,339634.8082961464,339626.06835699774
7353,64341.471,64238.475,69504.72317269086,69485.06758232943
7354,305396.66,305363.97,307448.0030952381,307425.7603296702
7355,361109.35,361060.14,369165.9787337051,369158.3872067035
7356,332989.36,332970.23,339634.8082961464,339626.06835699774
7357,484559.15,484562.61,485093.7721111117,485078.81402222347
7358,72362.766,72338.357,69504.72317269086,69485.06758232943
7359,176161.96,176157.11,185616.72356725138,185603.2415984406
7360,229344.7,229313.35,217929.90592885367,217921.5533399206
7361,320865.38,320866.72,307448.0030952381,307425.7603296702
7362,153753.35,153760.49,156847.65178260874,156836.5041304347
7363,115372.69,115374.15,101609.11073062735,101593.25798154983
7364,154353.09,154385.05,156847.65178260874,156836.5041304347
7365,426000.9,425985.02,424338.6673650791,424324.22552380926
7366,108668.39,108675.62,101609.11073062735,101593.25798154983
7367,62312.662,62360.349,69504.72317269086,69485.06758232943
7368,457449.09,457412.97,455285.4115738498,455270.39508474537
7369,95608.282,95542.422,101609.11073062735,101593.25798154983
7370,275297.2,275269.68,274669.525366379,274663.15323275834
7371,256397.87,256348.7,247739.99689223093,247728.81476190523
7372,252455.17,252388.52,247739.99689223093,247728.81476190523
7373,457603.58,457617.36,455285.4115738498,455270.39508474537
7374,206198.19,206215.89,217929.90592885367,217921.5533399206
7375,377548.29,377522.14,369165.9787337051,369158.3872067035
7376,141329.6,141326.36,130154.50997333344,130144.92600000014
7377,134649.38,134634.02,130154.50997333344,130144.92600000014
7378,112472.3,112480.25,101609.11073062735,101593.25798154983
7379,247334.42,247321.86,247739.99689223093,247728.81476190523
7380,366495.02,366502.2,369165.9787337051,369158.3872067035
7381,81758.102,81709.865,69504.72317269086,69485.06758232943
7382,365731.16,365686.06,369165.9787337051,369158.3872067035
7383,369258.78,369263.24,369165.9787337051,369158.3872067035
7384,37455.295,37427.836,42709.52807038839,42681.28406310685
7385,397987.33,397952.41,397781.09172413754,397780.57758620655
7386,251615.44,251617.26,247739.99689223093,247728.81476190523
7387,294268.48,294295.86,307448.0030952381,307425.7603296702
