,original_index,time_center,true_P1_output1,true_P2_output2,pred_P1_output1,pred_P2_output2
0,1081,70.5,7.42738312122992e-09,1.84617671746185e-08,2.2542073610252465e-08,1.997338459882071e-08
1,1082,70.75,5.9937205508089e-09,1.78170949550976e-08,2.2542073610252465e-08,1.997338459882071e-08
2,1083,71.0,2.08038476853096e-08,3.05924033303926e-08,2.2542073610252465e-08,1.997338459882071e-08
3,1084,71.25,6.47586313062536e-09,1.11477467352712e-08,2.2542073610252465e-08,1.997338459882071e-08
4,1085,71.5,3.86214853942362e-09,6.223100417826651e-09,2.514365761376556e-08,2.65974478748689e-08
5,1086,71.75,1.55552235273618e-08,2.67554090622441e-08,2.514365761376556e-08,2.65974478748689e-08
6,1087,72.0,3.47175145482097e-08,5.38938249186468e-09,2.2542073610252465e-08,1.997338459882071e-08
7,1088,72.25,7.00381714105578e-08,9.286255209507951e-09,2.514365761376556e-08,2.65974478748689e-08
8,1089,72.5,1.38476927243153e-08,3.0463350605936104e-09,2.2542073610252465e-08,1.997338459882071e-08
9,1090,72.75,5.27972731042033e-08,5.93771695510862e-08,2.2542073610252465e-08,1.997338459882071e-08
10,1091,73.0,9.97455736626369e-08,9.25339432846323e-09,2.514365761376556e-08,2.65974478748689e-08
11,1092,73.25,3.72306912451878e-08,2.52278923135507e-08,2.2542073610252465e-08,1.997338459882071e-08
12,1093,73.5,1.90570024086686e-08,1.6945422730785e-08,2.2542073610252465e-08,1.997338459882071e-08
13,1094,73.75,6.18604216575282e-09,8.32906599855812e-09,2.2542073610252465e-08,1.997338459882071e-08
14,1095,74.0,1.03499878023293e-08,1.26891388202576e-08,2.2542073610252465e-08,1.997338459882071e-08
15,1096,74.25,5.5186498222171205e-09,6.14118989972437e-08,2.2542073610252465e-08,1.997338459882071e-08
16,1097,74.5,2.79368227720185e-08,3.83185945559862e-08,2.2542073610252465e-08,1.997338459882071e-08
17,1098,74.75,2.83685824222997e-08,1.3508866711122e-08,1.8001267241899e-08,2.2852539659396e-08
18,1099,75.0,4.40173412990473e-08,1.71786012399484e-08,2.2542073610252465e-08,1.997338459882071e-08
19,1100,75.25,3.84264660746121e-08,1.76215658084084e-08,2.2542073610252465e-08,1.997338459882071e-08
20,1101,75.5,5.78621837226585e-08,5.6127774801108605e-09,2.2542073610252465e-08,1.997338459882071e-08
21,1102,75.75,5.91775437048583e-08,1.66567778628941e-08,2.2542073610252465e-08,1.997338459882071e-08
22,1103,76.0,2.21825551905806e-08,3.36168212139496e-08,2.2542073610252465e-08,1.997338459882071e-08
23,1104,76.25,2.93752313542371e-08,6.91526755424509e-09,2.2542073610252465e-08,1.997338459882071e-08
24,1105,76.5,4.43813368379844e-08,2.6232823227935e-08,2.2542073610252465e-08,1.997338459882071e-08
25,1106,76.75,3.771858342682611e-09,1.42610880198021e-08,2.2542073610252465e-08,1.997338459882071e-08
26,1107,77.0,2.30753159173812e-08,2.92922731034484e-08,2.2542073610252465e-08,1.997338459882071e-08
27,1108,77.25,3.25992559679223e-08,7.966624882266851e-09,2.2542073610252465e-08,1.997338459882071e-08
28,1109,77.5,3.49720734425571e-08,5.346064792955561e-09,2.2542073610252465e-08,1.997338459882071e-08
29,1110,77.75,2.59115931094462e-08,1.81350642939961e-08,2.514365761376556e-08,2.65974478748689e-08
30,1111,78.0,1.18756340978484e-08,3.11427432365976e-09,2.514365761376556e-08,2.65974478748689e-08
31,1112,78.25,6.146043425557651e-09,2.24183249942382e-08,2.2542073610252465e-08,1.997338459882071e-08
32,1113,78.5,1.60410562547558e-08,8.569646442798751e-09,2.2542073610252465e-08,1.997338459882071e-08
33,1114,78.75,3.71139742396576e-09,1.19896239254954e-08,2.2542073610252465e-08,1.997338459882071e-08
34,1115,79.0,5.793146853206651e-09,1.20901328332756e-08,1.8001267241899e-08,2.2852539659396e-08
35,1116,79.25,6.8535925492006405e-09,8.58238145953299e-08,1.8001267241899e-08,2.2852539659396e-08
36,1117,79.5,2.22856388548521e-08,6.56129922088357e-08,2.2542073610252465e-08,1.997338459882071e-08
37,1118,79.75,4.19803966174925e-08,6.50066703757567e-08,2.2542073610252465e-08,1.997338459882071e-08
38,1119,80.0,7.10699946345381e-08,1.50967647492249e-08,2.2542073610252465e-08,1.997338459882071e-08
39,1120,80.25,9.992055531545741e-09,9.51791740393951e-09,2.2542073610252465e-08,1.997338459882071e-08
40,1121,80.5,1.30047136808386e-08,1.08466877388923e-08,2.2542073610252465e-08,1.997338459882071e-08
41,1122,80.75,3.20002065990577e-08,2.32469933123961e-08,2.2542073610252465e-08,1.997338459882071e-08
42,1123,81.0,2.60197147134372e-08,2.25661649258764e-08,2.2542073610252465e-08,1.997338459882071e-08
43,1124,81.25,1.98180165404945e-08,2.24842837134234e-08,2.2542073610252465e-08,1.997338459882071e-08
44,1125,81.5,8.008313379252181e-09,3.94629542341512e-09,2.2542073610252465e-08,1.997338459882071e-08
45,1126,81.75,3.40502213716429e-08,3.0431980442300804e-09,2.2542073610252465e-08,1.997338459882071e-08
46,1127,82.0,4.702603548248481e-09,2.49870330858784e-08,4.702603548248481e-09,2.49870330858784e-08
47,1128,82.25,1.6663743280186201e-09,1.64959318356258e-08,2.2542073610252465e-08,1.997338459882071e-08
48,1129,82.5,2.34961457675997e-08,4.42775037728349e-08,2.2542073610252465e-08,1.997338459882071e-08
49,1130,82.75,3.85659035614566e-09,4.69034123335387e-08,2.2542073610252465e-08,1.997338459882071e-08
50,1131,83.0,4.42777335673898e-10,2.37961700708723e-08,2.2542073610252465e-08,1.997338459882071e-08
51,1132,83.25,4.86388372379683e-08,2.00550458938077e-08,2.2542073610252465e-08,1.997338459882071e-08
52,1133,83.5,1.97080948156348e-08,7.58062096232739e-08,2.514365761376556e-08,2.65974478748689e-08
53,1134,83.75,8.91507428721475e-10,1.78222478466521e-08,2.2542073610252465e-08,1.997338459882071e-08
