input1,input2,input3,input4,input5,input6,input7,input8,input9,input10,input11,input12,input13,input14,input15,input16,input17,input18,input19,input20,input21,input22,output1,output2,output3,output4,output5,output6,output7,output8,output9,output10,output11,output12,output13,output14,output15,output16,output17
285827.87,7.597829,0.059814,-1.101519,-21.622542,-5.636558,-35.60658,-1.54555,-8.909711,6.463975,190759.23,217.10979,174.36053,799.40892,296.72035,321.47456,199.11439,460.73066,301.26287,426.93092,1,1,285767.57,285756.01,285767.57,285767.57,2171790.7,55270053000.000000,248847.34,2397039,3175324.4,-1825392.8,261185400000.000000,14929130999999999911106876294519848960.000000,-54.844737,81697570000.000000,285830.37,-59.974024,-60.114006
263248.75,-3.158665,-0.008807,4.542392,22.570803,0.997721,-21.407284,-14.068202,-63.739735,4.080264,305426.66,334.87877,443.78749,-39.600572,280.3004,489.70567,24.740585,75.086656,-26.524984,346.84855,1,1,263178.56,263193.77,263178.56,263178.56,-831451,-58673874000,-86895.45,30878025.000000,19926102.000000,30158828.000000,1003239600000.000000,27911730000000000000.000000,-64.771149,69299905000.000000,263175.56,-69.914292,-70.045552
179894.53,19.423571,-2.925052,-0.014073,-25.070284,-2.563527,-34.917239,-4.535895,38.038576,15.471091,240955.55,65.437164,374.5554,628.18194,231.96557,163.02203,164.576,329.30198,32.382832,659.73931,1,1,179897.44,179841.88,179897.44,179897.44,3495005.3,861605470000.000000,356320960.000000,4609418.9,7065253.9,-18786428,-2.70214E+12,-3.0695E+176,8.162187,32362042000.000000,179958.28,3.036628,2.953749
355340.46,6.535667,-3.554411,2.487855,-26.430996,2.581793,-33.699931,-3.276308,-23.265766,6.300199,345896.76,76.312454,12.12747,252.39405,182.74712,56.755106,92.774198,358.64077,588.9362,831.66587,1,1,355268.13,355238.87,355268.13,355268.13,2322273.7,-2.26802E+13,-30206240,-3814461700,6086872400.000000,5265890200.000000,-1.08143E+17,-2.18552E+38,-66.771252,126266840000.000000,355323.22,-71.816787,-71.962909
264516.8,14.772508,3.740362,-1.538917,-41.313893,-3.468804,30.624705,6.142184,17.194142,6.470201,171887.21,9.950034,390.07992,383.93305,179.95972,613.44368,-38.31768,475.82021,33.980305,231.15495,1,1,264549.42,264504.67,264549.42,264549.42,3908013.5,-6.74536E+13,-6867927.9,1601074000.000000,-4717202500,4662582700.000000,-1.04873E+17,-2.4357E+114,38.044943,69969136000.000000,264563.79,32.90239,32.770573
377347.07,17.695383,-3.147739,-1.602858,9.253743,-3.266159,15.886718,-4.343104,52.76252,-11.31646,364990.76,546.07334,407.89482,648.79886,297.1142,637.76733,107.35979,12.159189,700.40293,233.20724,1,1,377418.99,377424.66,377418.99,377418.99,6676609.6,-4.19488E+13,-2023548.9,-328485450,2623371900.000000,14519186000.000000,489144210000000000.000000,30900607999999999520636898620643365606213110236576101017127647764180024293578174649755064062007538691879176169476426212253116917773908389688455047541686272.000000,77.498785,142390810000.000000,377395.31,72.491655,72.351944
431515.23,19.291352,-3.98604,1.843552,-23.345177,4.100478,8.442705,-9.00986,-36.413639,9.857492,244216.28,165.72896,325.35827,146.0583,124.48667,81.879888,89.174765,466.09751,719.93344,212.84685,1,1,431486.01,431433.84,431486.01,431486.01,8323974,159888610000000.000000,953111.48,131524540000.000000,92299685000.000000,-61629251000,3770010800000000000.000000,2139133399999999833020000331985667187767616686436749997802081069678487336122663317792720151523310964034418870044106239842651023904409284235289435150727684887931109839476531179561156608.000000,-23.584142,186205390000.000000,431496.66,-28.474253,-28.576252
405198.32,10.361112,-3.44183,-4.652369,8.997334,-5.651309,35.701953,6.36017,4.848183,-6.231368,267570.54,169.69845,353.66445,353.68837,56.697992,373.37528,183.56864,359.42833,382.16862,844.59704,1,1,405244.61,405244.24,405244.61,405244.61,4198467.3,23448959000000.000000,201168.57,2879699600.000000,3934059500.000000,1786952700.000000,120129750000000000.000000,552913929999999978660129290470316565082566998103540155678241849344.000000,51.899544,164185680000.000000,405206.37,46.948675,46.824167
445207.98,14.242425,2.190142,-4.301689,-24.547889,3.738802,-13.16929,-14.997858,-30.986167,-3.756703,199386.63,401.2007,326.85368,120.48232,224.20286,472.63917,190.318,272.67794,719.41398,171.70064,1,1,445136.39,445146.54,445136.39,445136.39,6341054,126058220000000.000000,756812.12,18360255000.000000,26998486000.000000,-39217419000,2342810700000000000.000000,3630844299999999845538400049412288841483922058536366780348855366390507433372421177915683919587548652896256.000000,-65.939665,198210140000.000000,445170.91,-70.795319,-70.88218
452726.41,19.868634,-0.831831,5.124004,-9.011906,-1.60258,32.158541,-5.744998,-20.204094,-19.01613,232043.46,510.95378,345.76329,538.74196,308.38911,414.98379,146.27354,490.51695,635.17508,831.14075,1,1,452727.15,452729.89,452727.15,452727.15,8995265.1,39303609000000.000000,123712.6,22949451000.000000,729665840.000000,794932920.000000,-3.04775E+16,-6.1846E+185,6.395476,204961200000.000000,452705.91,1.559555,1.482066
