start_time,time_center,end_time,product_name,product_code,normalized_param_1_output_1,normalized_param_2_output_2,normalized_param_3_output_3,normalized_param_4_output_4,normalized_param_5_output_5,normalized_param_6_output_6,normalized_param_7_output_7,normalized_param_8_output_8,normalized_param_9_output_9,normalized_param_10_output_10,normalized_param_11_output_11,normalized_param_12_output_12,normalized_param_13_output_13,normalized_param_14_output_14,normalized_param_15_output_15,normalized_param_16_output_16,normalized_param_17_output_17,normalized_param_18_output_18,normalized_param_19_output_19,normalized_param_20_output_20,normalized_param_21_output_21,normalized_param_22_output_22,normalized_param_23_output_23,normalized_param_24_output_24,normalized_param_25_output_25,normalized_param_26_output_26,normalized_param_27_output_27,normalized_param_28_output_28,normalized_param_29_output_29,normalized_param_30_output_30,normalized_param_31_output_31,normalized_param_32_output_32,normalized_param_33_output_33,normalized_param_34_output_34,normalized_param_35_output_35,normalized_param_36_output_36,normalized_param_37_output_37,normalized_param_38_output_38,normalized_param_39_output_39,normalized_param_40_output_40,normalized_param_41_output_41,normalized_param_42_output_42,normalized_param_43_output_43,normalized_param_44_output_44,normalized_param_45_output_45,normalized_param_46_output_46,normalized_param_47_output_47,normalized_param_48_output_48,normalized_param_49_output_49,normalized_param_50_output_50,normalized_param_51_output_51,normalized_param_52_output_52,normalized_param_53_output_53,normalized_param_54_output_54,normalized_param_55_output_55,normalized_param_56_output_56,normalized_param_57_output_57,normalized_param_58_output_58,normalized_param_59_output_59,normalized_param_60_output_60,normalized_param_61_output_61,normalized_param_62_output_62,normalized_param_63_output_63,normalized_param_64_output_64,normalized_param_65_output_65,normalized_param_66_output_66,normalized_param_67_output_67,normalized_param_68_output_68,normalized_param_69_output_69,normalized_param_70_output_70,normalized_param_71_output_71,normalized_param_72_output_72,normalized_param_73_output_73,normalized_param_74_output_74,normalized_param_75_output_75,normalized_param_76_output_76,normalized_param_77_output_77,normalized_param_78_output_78,normalized_param_79_output_79,normalized_param_80_output_80,normalized_param_81_output_81,normalized_param_82_output_82,normalized_param_83_output_83,normalized_param_84_output_84,normalized_param_85_output_85,normalized_param_86_output_86,normalized_param_87_output_87,normalized_param_88_output_88,normalized_param_89_output_89,normalized_param_90_output_90,normalized_param_91_output_91,normalized_param_92_output_92,normalized_param_93_output_93,normalized_param_94_output_94,normalized_param_95_output_95,normalized_param_96_output_96,normalized_param_97_output_97,normalized_param_98_output_98,normalized_param_99_output_99,normalized_param_100_output_100,normalized_param_101_output_101,normalized_param_102_output_102,normalized_param_103_output_103,normalized_param_104_output_104,normalized_param_105_output_105,normalized_param_106_output_106,normalized_param_107_output_107,normalized_param_108_output_108,normalized_param_109_output_109,normalized_param_110_output_110,normalized_param_111_output_111,normalized_param_112_output_112,normalized_param_113_output_113,normalized_param_114_output_114,normalized_param_115_output_115,normalized_param_116_output_116,normalized_param_117_output_117,normalized_param_118_output_118,normalized_param_119_output_119,normalized_param_120_output_120,normalized_param_121_output_121,normalized_param_122_output_122,normalized_param_123_output_123,normalized_param_124_output_124,normalized_param_125_output_125,normalized_param_126_output_126,normalized_param_127_output_127,normalized_param_128_output_128,normalized_param_129_output_129,normalized_param_130_output_130,normalized_param_131_output_131,normalized_param_132_output_132,normalized_param_133_output_133,normalized_param_134_output_134,normalized_param_135_output_135,normalized_param_136_output_136,normalized_param_137_output_137,normalized_param_138_output_138,normalized_param_139_output_139,normalized_param_140_output_140,normalized_param_141_output_141,normalized_param_142_output_142,normalized_param_143_output_143,normalized_param_144_output_144,normalized_param_145_output_145,normalized_param_146_output_146,normalized_param_147_output_147,normalized_param_148_output_148,normalized_param_149_output_149,normalized_param_150_output_150,normalized_param_151_output_151,normalized_param_152_output_152,normalized_param_153_output_153,normalized_param_154_output_154,normalized_param_155_output_155,normalized_param_156_output_156,normalized_param_157_output_157,normalized_param_158_output_158,normalized_param_159_output_159,normalized_param_160_output_160,other_param_1_input_1,other_param_2_input_2,other_param_3_input_3,other_param_4_input_4,other_param_5_input_5,other_param_6_input_6,other_param_7_input_7,other_param_8_input_8,other_param_9_input_9,other_param_10_input_10,other_param_11_input_11,other_param_12_input_12,other_param_13_input_13,other_param_14_input_14,other_param_15_input_15,other_param_16_input_16
0,0.25,0.5,A,10,1.159011651,0.262854449,-0.375242094,-0.561217422,0.021589965,-0.710765919,0.386717665,-0.881038615,-1.004133364,1.545743738,1.507567632,-0.758441098,0.692914268,-0.748051139,0.975004418,-0.711901993,-0.811631527,-0.631658571,-0.767791497,-0.304095914,-0.837673636,0.159549945,-0.630692324,-0.817117894,-0.91537119,-0.743409105,-0.361051484,-0.263034626,0.35680905,-0.948676695,0.124368882,0.268161476,-0.748087571,-0.901031213,-0.791179931,-0.49395474,0.123427594,-0.412345737,-0.727111025,-0.183956224,-0.014976001,-0.255763493,-0.581571336,-0.490275177,-0.271110562,-0.262488919,-0.724739662,-0.943201928,-0.573201508,0.210575622,-0.051743526,-0.70048771,-0.500763201,0.547926734,-0.94011251,1.089143426,0.10683084,0.504920844,-0.9783686,-0.400462486,-0.078568102,-0.317128013,-0.304634128,-0.395927433,0.413901077,-0.967047769,-0.461456167,-1.02214217,-0.652400542,2.211091896,0.334216569,0.113261924,-0.949681748,0.135985741,1.555606813,-0.670616251,-0.778422852,0.026020478,0.568055034,0.124494113,-0.501535399,-0.453237213,-0.899511121,0.398380557,-0.237672736,0.409434796,-0.458994556,-0.637045033,0.62436027,0.060379447,-0.803265525,-0.414250843,-0.07909919,1.731809834,1.250154365,0.566344085,-0.594112055,-0.421545768,-0.03375044,0.901167882,-0.639046001,-0.235932081,-0.733059577,1.918394104,0.060538948,0.278964526,-0.679200867,0.365782726,0.280243767,-0.488603619,-0.113036928,1.622537438,0.172072169,1.966356915,-0.83719957,-0.649628474,-0.579439667,1.251884869,-0.382054706,-0.561560564,0.03282315,-0.530656253,-0.346130977,-0.707750313,-0.533211813,0.177114122,0.659430299,-0.792805119,-0.633451836,-0.118970893,-0.542947188,0.460514105,0.534641349,-0.520708291,0.074120567,0.081839218,0.136260697,-0.140263777,-0.317727036,-0.617202682,-0.843019282,-0.796106319,0.481736388,1.247582192,-0.337421682,-0.131539511,-0.303187346,-0.603303821,-0.465395367,-0.282018686,-0.292823366,-0.593030569,-0.073570935,-0.896473558,1.755663562,-0.460361348,-0.791933974,-1.051140679,-0.515489298,0.039435309,-0.015647995,-0.155808542,-0.500066796,-0.374170849,-0.390675297,-0.132311619,-0.157431135,0.045891982,-0.169544099,0.210345234,0.012808193,0.188993148,-0.279360964,-0.085147304,-0.203267344,-0.287972486
0.25,0.5,0.75,A,10,0.480690386,0.801083179,0.377950842,-0.899927079,-0.568404123,-0.048586802,-0.605674179,-0.229963266,-0.460169139,2.376808839,0.56792986,3.121923916,-0.002526104,-1.05998246,-0.46228525,-0.525946949,-0.304473067,-0.590967317,-0.27311158,-0.579688166,0.86945733,-0.271385396,-0.436540722,-0.331539853,-0.77143767,-0.772157431,-0.89333254,-0.676370774,-0.397296821,-0.14850727,0.579725656,3.134674617,-0.267938706,-0.461607623,-0.310725082,-1.012358389,1.469493037,0.024255996,0.02768016,-0.295009762,-0.855451546,-0.376621742,0.03819056,-0.854904887,-0.21942922,0.105907293,-0.624155958,0.073156519,1.093225086,0.786124196,-0.743314898,-0.422227405,0.451085104,-0.526720342,0.325961577,0.00155601,-0.526967256,-0.506776251,-0.914879269,0.078732124,-0.822565544,-0.826969762,-0.020764204,-0.793265974,-0.281054013,-0.349707173,0.617434229,-0.918625963,-0.645941105,0.519223617,-0.853777338,-0.383315152,2.009812715,-0.313934252,-0.075489932,0.118219919,-0.078222303,0.076123536,-0.645404857,-0.827493685,-0.504793734,-0.75556495,0.604370344,-0.186126516,0.058730493,-0.465402336,-0.17491152,-0.987405352,-1.075353621,-0.86554962,0.548537308,-0.785396835,-0.851507357,0.093944353,-0.367796619,-0.391604474,0.157740591,-0.951267666,-0.411916101,0.276087868,-0.427389186,0.027627323,-0.97680894,-0.873614037,-0.528413456,-0.546384883,-0.555109249,0.45769589,-0.655943814,-0.744911346,0.170402588,0.191292757,0.809912,-0.943600031,-0.163061426,-0.802337947,-0.537356255,-0.565173736,0.08688589,1.165812665,0.376999915,-0.884528837,-0.018035855,-0.821934202,-0.445736484,2.544566598,1.49753376,-0.364847033,-0.630067174,0.293015868,1.005891167,0.528421937,-0.385391487,-0.667614947,-0.666516193,-0.082902869,-0.90974918,-0.230124735,-0.447756732,-0.068332539,-0.764064779,0.479751194,-0.183263901,1.053277965,0.427016648,-0.553424207,1.545717204,-0.913864236,-0.840304879,-0.793970127,-0.708613685,-0.738474491,0.660791266,-0.172598317,-0.298025273,-0.732870158,4.510898749,2.041575334,-0.598162381,0.912431835,0.122380866,-0.010912712,-0.382911115,0.28881899,-0.08339597,-0.27835506,-0.352223589,-0.097348135,-0.435200681,-0.268317893,-0.48232517,-0.05872235,0.154696656,-0.192407558,-0.054312912,0.487695288
0.5,0.75,1,A,10,-0.444040885,1.124676546,0.518115647,4.256893876,1.800658335,0.372553488,0.889677642,1.415357901,0.399870502,2.753212809,-0.73973266,-0.372941477,0.887088029,2.644778573,0.277055248,1.932730803,1.108071158,0.110576182,-0.463459088,-0.276359976,2.643576666,0.829747347,0.321936736,-0.644430185,-0.763570048,0.981643471,-0.218848097,1.141356081,1.122070305,0.361937313,0.62568906,0.235279835,1.25787696,1.102627833,1.564908321,-0.645224705,1.927097284,-0.485409759,1.150923036,-0.300604052,0.544738912,-0.181884111,4.495263922,-0.56508441,-0.466176274,2.178057913,-0.927549347,1.767153092,1.383983623,1.690961598,0.07638578,-0.521456235,0.131681307,-0.297577377,-0.684033468,-0.143911426,1.281500034,0.335950967,0.389263993,-0.554979633,0.779921167,0.339091259,0.394331175,-0.838730268,-0.244966229,3.5390562,-0.158615111,-0.815182891,-0.667145411,-0.904324474,0.178048577,2.48522669,-0.933744416,-0.814404576,0.592769092,2.018392405,1.092395837,-0.310943163,0.852405523,-1.135751228,-0.318862216,0.387231752,0.282376666,-0.591809253,0.029771992,-0.926930341,-0.825792792,0.006060084,0.295372389,0.153709038,-0.887898522,0.449444106,-0.492619846,0.617486985,0.920321981,1.051958335,1.003433684,-0.832757114,-0.316537407,0.404078201,-0.761198544,0.004414234,-0.501643764,0.714585457,-0.458339374,-0.487272417,2.917303094,-0.926492419,0.687059006,-0.147987067,-0.620786295,0.793262205,-0.84384578,-0.590412026,-0.537077168,-0.569431825,-0.237776038,0.801498065,-0.548566333,-0.255105978,0.007558791,-0.212285154,-0.945206373,-0.405370773,0.296516324,-0.61367306,-0.900091862,1.328401596,-0.927883198,1.622717918,0.859198616,-0.720994138,-0.679044594,0.962987961,-0.156524517,-0.936515976,0.174864907,0.435979124,-0.270595764,-0.390110819,-0.673438847,-0.710640672,-0.773461781,-0.948938895,-1.043035759,0.123984601,-0.749046022,-0.233102609,-0.386875045,-0.70270974,-0.773706304,0.679499144,-0.184116203,-0.355463729,0.238322179,1.910450805,-0.566385439,-0.793423284,-0.578446039,0.080846022,1.308697586,0.510780679,0.577541959,0.643316381,0.991946492,0.001282394,0.142343542,0.402439474,-0.150887268,0.19169104,0.104042821,-0.260824117,-0.074931579,-0.07207552,-0.609726477,-0.034242285
0.75,1,1.25,A,10,2.667064243,-0.383134977,2.288106333,-0.611931178,0.31779358,0.835526117,-0.971074449,-0.549127291,-0.561474673,-0.890485183,-0.157331348,0.137611329,1.462366442,0.059387606,0.900417385,-0.790980508,-0.462628152,1.654085189,-0.72123223,0.90589644,-0.806056623,-8.28E-06,0.716349858,-0.781254384,1.163254809,1.585021174,0.986103296,-0.04617816,-0.702282657,4.869281705,-0.369283604,2.013931866,-0.08000042,-1.060494079,0.536357127,2.486697517,-0.14824172,-0.721384266,0.975833908,-0.858776267,-0.773932982,-0.285896721,1.404980197,4.158220118,3.06772668,-0.257964629,0.387866558,-0.252847014,-0.352385731,0.729530756,-0.585165266,-0.598521719,1.787797794,-0.380286024,0.020377001,1.128417525,-0.455361885,3.416247764,-0.641966082,0.191567083,0.466078872,-0.660302876,1.439445499,-0.864474344,1.343456095,-0.644180518,-0.237824461,-0.888660986,-0.904466071,0.041014571,0.062531611,2.875601868,0.227756779,1.840231125,1.329997783,0.85697506,-0.322132302,0.507750489,2.123775895,-0.359628787,-0.455426249,-0.9846707,-0.915466023,-0.700258111,-0.390973012,-0.068338029,-0.512775028,0.550580698,-0.285516323,-0.638173553,-0.676381473,0.039803106,-0.452575309,1.169449218,1.523499153,2.1775211,-0.629309721,-0.34867401,-0.222974469,3.969749779,0.736301403,3.338148871,-0.445158105,0.820959589,-0.318700824,0.156779101,-0.753384029,3.506704484,2.306480066,-0.902223644,0.925826813,-0.950530607,-0.268080126,-0.850758426,-0.468849277,-1.072316068,1.739526172,0.336284307,-0.778508344,-0.63835414,0.735869758,-0.431785343,0.383256812,-0.683416771,-0.758253708,-0.113571601,-0.400887869,2.067410917,-0.333256111,-0.395234175,0.084382734,-0.511939151,1.345835917,-0.522463476,-0.033334032,0.725311213,-0.247950069,-0.158414717,0.138205366,0.480350958,2.124261528,1.06280796,-0.522604504,-0.093793848,-0.298550778,3.468904013,1.264596694,0.316746105,-0.341212623,0.348517887,-0.081475294,-0.717143208,-0.71788436,0.015109462,-0.252583445,-0.760995543,-0.744898985,-0.930383413,-0.390795468,0.037001091,0.214126252,0.298759215,0.698423074,0.277464006,0.782529723,0.388310619,-0.090991422,0.914285952,-0.440101633,0.655010737,0.844590691,-0.202575969,0.007013191,0.129998474,0.732967243,-0.454404916
1,1.25,1.5,A,10,2.773642192,-0.392596213,-0.323428937,-1.042158794,-0.354399683,2.086977251,-0.216109313,-0.941786026,-0.419051694,0.313931658,-0.676896432,-0.671026032,-0.804028446,-1.040822269,-0.173946728,-0.332785987,-0.902839011,-0.433929935,-0.87863896,0.607717715,-0.256041598,-0.710989444,1.441760376,-0.700889689,-0.58193339,-0.833248846,-0.516789108,0.462142768,-0.160628677,-1.038913555,1.529739233,-0.412008619,-0.364424787,0.059389562,0.717740208,-1.028261716,0.536526617,-0.195200252,-0.426056925,-0.352261202,-0.016569752,-0.417200053,0.373550948,-1.074402562,-0.783982981,-0.097026882,-0.622925836,-0.149143009,-0.792298652,0.604806736,-0.052285838,0.497138848,-0.119729664,-0.204472723,-0.170011053,-0.785073698,-0.566303162,-0.679486733,-0.169877451,-0.883494858,0.165245346,-0.456894516,0.492852901,-0.798344426,-0.845326003,-1.016069027,-0.604821223,-0.854260521,-0.344613206,-0.123719486,-0.87483855,-0.146824579,-0.746675642,-0.918218553,-0.083385768,-0.640391523,-0.320333443,-0.857272771,0.044904474,-0.251604054,-0.67159855,-0.88730137,-0.606766403,0.799764443,-0.384991051,-0.099683274,0.158769597,0.296075319,-0.722378272,-0.0564782,-0.337370328,-0.662191758,-0.713397985,-0.48460446,-0.882750409,-0.817572692,-0.735030392,0.100609076,-0.82839342,0.264421711,-0.823374331,-0.757702716,-0.515026911,-0.691176455,0.624753886,-0.727327955,0.965375805,0.751738488,-0.418448918,-0.263504009,-0.877573784,-0.905304122,-1.041433393,-0.74466915,-1.020353666,-0.52220971,-0.781794536,-0.957287979,1.69435831,0.313303135,0.595443544,-0.333910208,0.298801593,-0.383591932,0.054299094,0.239065856,-0.260722733,-0.996551257,-0.917318964,-0.767979475,-0.99435516,-0.119823338,-0.787644808,-0.201757186,-0.876849778,0.149160339,-0.516923475,0.724388264,-0.728375108,-0.236295869,-0.658697094,0.081709176,-0.343356267,1.961471137,0.004302431,-0.851641099,-0.248936651,-0.391678021,0.275150563,-0.820446853,-0.799611487,-0.786772199,0.658891105,-0.662144767,0.184562697,0.748367907,0.150011697,0.800883652,-0.063745722,-0.422987669,0.148502044,-0.530719608,-0.289553116,0.006518212,-0.297519204,-0.313359633,-0.438595016,-0.479464041,-0.217458776,-0.509628066,-0.185469312,-0.484296489,-0.247246448,-0.358847612,-0.099212268,-0.019254479
1.25,1.5,1.75,A,10,0.837716792,-0.030145918,-0.233054184,-0.148735584,-0.513875142,1.148228999,-0.43111512,-0.039580695,1.85411371,3.990739949,0.916245861,0.984559168,-0.49632617,-0.806890227,0.889215595,0.407265451,0.000963686,0.551512615,1.551944389,-0.335282455,-0.379448884,1.19642196,1.868937584,-0.457078957,-0.052960123,-0.245082878,1.626328766,0.264206366,-0.872174555,2.133691818,0.600436117,4.092219669,1.033329219,0.371057879,1.824595789,-0.276321982,1.029133945,-0.841066972,4.451294917,-0.32663693,0.331054833,0.51648201,-0.249585877,-0.511609129,0.681916691,-0.168193659,0.583990047,0.526139935,-0.412228502,4.086111808,-0.805582584,-0.757126209,0.876812544,-0.213366571,-0.651558912,-0.50784231,-0.477641037,1.999123182,0.072904345,-0.280972638,-0.974994301,3.464387072,1.524470002,0.473176822,0.944953271,-0.362661952,-0.606809994,-0.555422088,0.694905716,2.832159721,1.291552258,0.402482076,-0.475749399,-0.797776131,0.053705168,-0.484587123,-0.205806248,-0.7593085,1.884875829,0.187085665,-0.511265614,0.415274639,-0.892918205,-0.127480877,-0.839899913,0.009253303,0.007369988,0.389274355,-0.655597218,-0.550265301,-0.495242661,-0.132872012,-0.909395735,0.368276071,-0.929985252,-0.27141202,3.240339957,2.064369189,-0.39154615,1.728635679,-0.783389642,-0.04884673,1.123691983,-0.153786729,-0.98531627,1.531242347,1.43736281,0.340475368,-0.791948847,-0.87976787,1.943007202,1.516732339,-0.388978515,0.328282628,4.244078791,0.144144078,-0.385456478,2.807088646,-0.742055309,-0.017343448,-0.335526424,-0.256182681,0.110609508,-0.614737489,1.931657371,-0.57163921,-0.52308589,-0.818971479,4.485571459,-0.70786225,0.703109306,0.430541867,1.44859632,-0.748802738,-0.468671415,-0.793165834,-0.843300617,0.761317988,1.156834013,0.372874365,-0.645315797,0.074557299,2.739584914,-0.738788105,0.800313864,2.93919506,0.033724101,-0.224092504,-0.125285491,-0.318678457,1.51207001,0.693908848,0.292967225,0.943087614,0.540418688,0.191359854,0.067368787,0.515763458,-0.392777773,-0.438185012,0.643429281,0.366320791,0.50828411,1.195804165,0.538407816,-0.074525019,0.743416427,0.109647359,-0.275625484,0.427116707,0.078971642,0.944949993,0.269983292,0.201933325,0.453521488,0.39259817
1.5,1.75,2,A,10,0.223338628,0.67263018,1.032555221,-0.089748067,-0.357250811,-0.317514863,0.613023857,-0.956828047,-0.380187889,-0.8213895,-0.467643278,-0.171214618,0.988663725,-0.910603748,1.188305123,1.607313989,-0.796208726,0.491826098,1.744507268,-0.56063029,0.054643234,1.705352795,0.859082097,-0.255266673,-0.15206108,0.082751352,0.217271216,0.784096665,-0.146099843,-0.315638797,0.065886429,-0.595812087,0.548015533,0.941372661,-0.492837909,-0.637061066,0.138053203,-0.918278702,0.826083917,-0.212212507,1.138179536,0.524532955,-0.46797303,-0.35834446,-0.460328115,-0.562652091,-0.365694194,-0.697283294,1.073339282,0.698785919,-0.649869693,0.481146688,-0.038531742,2.571700923,-0.743645166,-0.586469638,1.2685728,-0.646216931,1.393183024,1.20716289,0.499591751,4.431833938,2.71931518,0.998215156,0.34495552,1.486309259,0.144447695,-0.225056379,-0.627844552,-0.738687917,-0.603544988,-0.382407307,-0.578199826,-0.132785648,0.408883947,0.249804012,0.389255429,-0.683614734,1.085126482,1.208696304,-0.795463524,-0.360393078,-0.750348453,0.78554346,-0.041247718,1.096635829,-0.357104365,0.556471188,0.116804925,0.721615833,-0.601237114,-0.476097155,-0.17187593,0.468243986,0.842650536,-0.499433371,-0.170626567,-0.79464314,0.86897572,0.069004664,-0.377487309,2.062807176,1.63761464,-0.414515347,-0.96208514,-0.75949174,-0.643502342,-0.195262812,-0.858655711,-0.547991569,-0.922494766,-0.710612832,0.190798945,-0.892140038,1.00772498,2.251621985,-0.37311943,1.394245941,-0.699337553,-0.969436338,-1.034092346,-0.309231499,-0.928530786,-0.32887945,-0.405356184,3.85232611,0.495475318,-0.333445024,0.919312808,-0.846906156,0.309406556,0.686978041,-0.021430454,2.076884905,-0.772479998,0.386513345,0.856434333,-0.607477677,0.217819113,3.310317202,-0.545652548,1.021433088,-1.053230143,-0.372114498,-0.600797503,1.233353502,-0.500677937,-0.307815653,0.053259651,1.386473526,-0.204549973,-0.939198709,-0.474523787,0.390941232,-0.08531562,-0.811461228,-0.446894743,-0.651563838,-0.900160304,-0.440429628,-0.038137129,0.311431554,0.283413097,-0.033679053,0.052256251,0.425703316,0.903307965,0.096121367,0.09725141,-0.046503837,-0.105857015,0.02772509,0.108067279,0.644296537,0.031423148,-0.45631566
1.75,2,2.25,A,10,0.051556266,-0.380910374,-0.015320732,2.183377817,-0.806692779,0.080871988,-0.580654613,-0.769365331,-0.44059275,-0.004338048,-0.554357473,1.652919885,-0.056052969,-0.385166763,1.082430602,1.45634435,1.012411701,0.500672356,-0.5798077,-0.410047237,0.176494861,0.193778037,-0.966790699,-0.326164163,-0.303422892,-0.08715875,0.622536897,0.080442846,-0.953649477,-0.232822746,-0.278748262,-0.445453226,-0.415325976,-0.539676768,-0.401373935,-0.620277942,-0.290195774,-0.49252318,-0.917434901,-0.332827771,-0.855469455,0.78087288,-0.302308243,2.261787531,0.383197859,-0.581409556,0.132537085,-0.229424628,1.983056074,-0.45169069,0.910215575,-0.454160393,2.659092876,-0.48801583,0.924839515,-0.734312349,-0.71882587,1.768613766,-0.394183068,-0.951748469,-0.797575174,3.475420414,0.105676005,0.363089596,0.60827963,1.843529298,-0.457992741,2.102906935,1.710427024,2.848733395,0.842280134,-0.854549119,-0.792765526,1.672282332,-0.546431323,-0.092010469,0.373089793,-0.806559345,-0.132109582,-0.161091168,4.072805993,3.551415583,0.055751122,-0.116574923,-0.270921344,1.758355598,-0.553597802,1.77310441,-0.587566007,-0.946391817,-0.174563209,-0.277546899,-0.890483053,2.798636151,-0.160726385,2.018841073,-0.245064329,-0.01057772,-0.872025852,-0.431852535,1.028215905,0.843267473,-0.871357934,-0.746006325,-0.947864001,0.267276658,-0.616268666,-0.822610199,-0.049891864,-0.079867973,-0.255839052,-0.800381305,-0.454767479,0.638096073,0.751881967,0.660133286,-0.344397942,-0.815538141,-0.746914323,2.041861372,-0.273076503,0.334759246,-0.817233812,0.331688613,-0.112177279,-0.476464926,-1.029585493,-0.028201529,0.613801636,0.836439246,-0.900900914,-0.713785225,-0.93441026,-0.212266572,0.869109922,0.244483942,1.745115685,1.761551806,0.742270934,-0.369561096,0.949253102,0.371253002,4.45778431,1.590451409,-1.011572535,0.429145831,-0.439328268,-0.585039724,0.130129528,-0.514896971,1.150576134,0.771178054,-0.934389412,1.001846511,-0.92621042,-0.557688761,0.577678775,-0.961933018,-0.774495862,0.381876095,-0.068206856,0.371934675,-0.179675609,-0.473383774,0.312114886,0.252151575,1.180249438,-0.049786427,0.873638081,0.175463724,-0.199510693,0.067413446,-0.06200508,0.223160822,0.537717968,-0.027156191
2,2.25,2.5,A,10,-0.465600677,-0.449605749,-0.493935771,2.18009155,0.086937799,0.294144581,-0.53351714,-0.670501924,-0.729856634,-0.755438564,0.484498056,1.080583878,-0.465005004,-1.015812386,0.878161205,0.39743388,-0.490612559,-0.487850519,-0.132953428,0.328472607,-0.647154433,-0.331946935,-0.671963896,-0.526257556,-0.788601486,-0.37969244,1.51240548,-0.605335899,0.573247352,-0.561729843,-0.469042277,0.003014831,1.513459082,1.885713788,-0.454503185,-0.555625641,1.603674812,-0.345381124,-0.471605859,0.118413217,-0.717487576,0.196379385,-0.81077867,-0.155613923,-0.547909137,-0.082163567,-0.082582923,0.046643236,-0.393933585,-0.491354288,1.306013203,-0.781345293,-0.101204964,-0.285321154,-0.020771114,-0.89015387,-0.804712897,0.307054318,-0.838215921,-0.983690604,-0.306693377,0.627924501,-0.917545562,0.077436108,-0.672552286,-0.439016991,-0.30190884,-0.710928508,0.119823827,-0.750581874,-0.069719898,0.431866173,-0.294199474,1.50255126,0.280694272,-0.209240619,2.198576951,0.082584315,-0.839117102,-0.77026538,-0.678855084,-0.099790759,0.001170092,-0.316089087,-0.027718877,0.055928744,-0.316607087,0.245337625,-0.819679517,-0.099691452,-0.123906586,-0.7137961,-0.780622354,-0.881373345,-0.365046604,-0.577644884,-0.650526238,-0.238266905,-0.920507401,0.066633714,0.026924619,-0.254851587,0.767076337,0.050823102,2.115113714,0.349456879,-0.927549153,0.06544386,1.470406002,0.687490632,-0.211462789,0.122607739,0.524118572,-0.82522485,-0.898317154,-0.847876124,-0.373252846,0.302853118,-0.404440476,-0.188857826,-0.819094478,0.743709048,-0.38948487,-0.85824463,-0.435481391,-0.233812729,-0.289851892,0.439507421,0.127436391,-0.285413799,-0.972777686,-0.923688057,0.196405406,-0.896330317,0.004876898,-0.124682572,-0.814570984,0.47366926,2.334196007,-0.878841409,0.045885281,-0.625775355,1.081285514,1.578075365,0.251432333,-0.816789689,-0.083356669,0.153070406,0.031074599,3.264817979,0.210724164,-0.657293262,-0.327386035,-0.867762962,-0.788476601,1.345658084,-0.770531256,1.012647127,0.330186269,-0.290117522,-0.153728253,0.057691573,-0.242702965,0.282811764,-0.303880105,-0.30923483,-0.3274043,0.23137305,-0.20559954,-0.51850567,0.43503344,-0.279985264,-0.200073093,-0.160174345,0.487971976,-0.080235199
2.25,2.5,2.75,A,10,-0.417782396,0.010065288,-0.15221373,-0.466354261,-0.2481214,1.454806725,-0.840505683,-0.870725836,1.099269514,-0.256386297,0.237314027,0.358740069,-0.649590407,1.640333502,-0.830704582,-0.726695869,1.645673844,-0.789469554,0.634983237,1.57407384,-0.545056809,-0.755497063,0.333438126,-0.433438892,-0.131426135,-0.016787317,-0.23656425,0.724687357,-0.316238725,-0.21548768,2.321084082,-0.542119934,1.875282652,0.569825301,0.708255391,4.055574983,3.196937976,-0.306289514,-0.00044818,0.668577669,1.2742801,0.53981635,-0.533676501,-0.730322738,-0.638011587,-0.381145965,1.864487724,0.558903918,-0.990744712,-0.555201915,-0.609852202,0.045752567,-0.402402736,-0.869007224,-0.109289883,-0.122215628,-0.112091074,2.381957346,1.192414817,-0.390999233,-0.357114501,0.515823711,1.531274172,-0.887895294,-0.87552293,-0.918544168,-0.721607984,-0.484391895,0.267764133,0.27739154,-0.753684424,-0.391335409,3.419844556,2.882804141,-0.311447387,-0.555045176,-0.704448998,0.043517122,-0.914932586,-0.761021971,-0.185133938,-0.889895725,-0.560020664,-0.176740263,-0.081283509,-0.792496649,0.421530206,0.493520135,0.228431028,-0.255420842,2.12450247,-0.29283531,0.160054567,-0.929730256,0.461880024,0.672335006,-0.472972248,0.756818007,1.917856297,4.057434113,-0.356102474,2.379015155,0.66011557,0.215803386,-0.144777558,-0.544031421,0.662806872,-0.673460456,0.10973834,0.357124044,-0.107024314,0.830960743,-0.206972322,1.90857601,-0.402690805,0.244667409,0.408198021,0.216333312,0.438303869,1.233355924,-0.752310241,-0.45381197,0.570148892,-0.383383716,-0.457558248,-0.326619431,-0.256422627,-0.731807573,-0.041278306,0.045894975,-0.50360503,-0.617461789,-0.218693247,0.749304087,2.328017772,-0.423565532,-0.709520777,-0.376687919,3.666061856,-0.520506447,-0.332795436,-0.44194664,0.358996253,0.070784755,-0.072213372,-0.055227152,-0.394927709,0.284868887,-0.579228771,0.401559576,-0.91254081,-0.934544219,-0.488149238,-0.706912934,-0.773619872,-0.184712393,0.338686744,-0.458507299,-0.460716792,-0.810410227,-0.068794808,0.309465811,-0.159237139,1.254668042,0.040838468,0.100426675,-0.165282322,0.195424987,-0.179751022,0.845534267,0.266623146,0.456370785,-0.278714824,0.337334297,-0.076012961,-0.539142704
